cured,death,confirmed,date,State
6417,98,6789,2021-05-22,Andaman and Nicobar Islands
20480,414,27755,2021-05-22,Meghalaya
35606,661,42565,2021-05-22,Manipur
682100,7394,757119,2021-05-22,Madhya Pradesh
7521,30,10024,2021-05-22,Mizoram
14747,258,19593,2021-05-22,Nagaland
567382,2430,668422,2021-05-22,Odisha
5070801,86618,5527092,2021-05-22,Maharashtra
452318,12888,528676,2021-05-22,Punjab
764137,7475,903418,2021-05-22,Rajasthan
9126,220,12521,2021-05-22,Sikkim
500247,3085,547727,2021-05-22,Telangana
1476761,19598,1770988,2021-05-22,Tamil Nadu
37429,457,45223,2021-05-22,Tripura
1534176,18760,1659212,2021-05-22,Uttar Pradesh
73936,1295,93167,2021-05-22,Puducherry
4251,22,6101,2021-05-22,Lakshadweep
15374,173,17146,2021-05-22,Ladakh
1979919,6994,2293632,2021-05-22,Kerala
1323019,9904,1542079,2021-05-22,Andhra Pradesh
20545,92,23553,2021-05-22,Arunachal Pradesh
302889,2588,359640,2021-05-22,Assam
627548,4339,681199,2021-05-22,Bihar
51382,680,57737,2021-05-22,Chandigarh
852529,12391,941366,2021-05-22,Chhattisgarh
1354445,22831,1412959,2021-05-22,Delhi
9269,4,9880,2021-05-22,Dadra and Nagar Haveli and Daman and Diu
121562,2302,143192,2021-05-22,Goa
686581,9469,780471,2021-05-22,Gujarat
141213,2652,175384,2021-05-22,Himachal Pradesh
666893,7317,728607,2021-05-22,Haryana
297776,4760,327035,2021-05-22,Jharkhand
210547,3465,263905,2021-05-22,Jammu and Kashmir
1829276,24207,2367742,2021-05-22,Karnataka
238593,5600,307566,2021-05-22,Uttarakhand
1083570,14054,1229805,2021-05-22,West Bengal
