State,Total_Confirmed,Total_Cured,Total_Death,DATE,Total_confirmed2,Confirmed_cases_on_this_day,Recovered_cases_on_this_day,Death_cases_on_this_day
Kerala,1,0,0,30-01-2020,1,,,
Kerala,1,0,0,31-01-2020,1,0,0,0
Kerala,2,0,0,01-02-2020,2,1,0,0
Kerala,3,0,0,02-02-2020,3,1,0,0
Kerala,3,0,0,03-02-2020,3,0,0,0
Kerala,3,0,0,04-02-2020,3,0,0,0
Kerala,3,0,0,05-02-2020,3,0,0,0
Kerala,3,0,0,06-02-2020,3,0,0,0
Kerala,3,0,0,07-02-2020,3,0,0,0
Kerala,3,0,0,08-02-2020,3,0,0,0
Kerala,3,0,0,09-02-2020,3,0,0,0
Kerala,3,0,0,10-02-2020,3,0,0,0
Kerala,3,0,0,11-02-2020,3,0,0,0
Kerala,3,0,0,12-02-2020,3,0,0,0
Kerala,3,0,0,13-02-2020,3,0,0,0
Kerala,3,0,0,14-02-2020,3,0,0,0
Kerala,3,0,0,15-02-2020,3,0,0,0
Kerala,3,0,0,16-02-2020,3,0,0,0
Kerala,3,0,0,17-02-2020,3,0,0,0
Kerala,3,0,0,18-02-2020,3,0,0,0
Kerala,3,0,0,19-02-2020,3,0,0,0
Kerala,3,0,0,20-02-2020,3,0,0,0
Kerala,3,0,0,21-02-2020,3,0,0,0
Kerala,3,0,0,22-02-2020,3,0,0,0
Kerala,3,0,0,23-02-2020,3,0,0,0
Kerala,3,0,0,24-02-2020,3,0,0,0
Kerala,3,0,0,25-02-2020,3,0,0,0
Kerala,3,0,0,26-02-2020,3,0,0,0
Kerala,3,0,0,27-02-2020,3,0,0,0
Kerala,3,0,0,28-02-2020,3,0,0,0
Kerala,3,0,0,29-02-2020,3,0,0,0
Kerala,3,0,0,01-03-2020,3,0,0,0
Telangana,1,0,0,02-03-2020,1,,,
Delhi,1,0,0,02-03-2020,1,,,
Telangana,1,0,0,02-03-2020,1,0,0,0
Kerala,3,0,0,02-03-2020,3,0,0,0
Telangana,1,0,0,03-03-2020,1,0,0,0
Kerala,3,3,0,03-03-2020,3,0,3,0
Telangana,1,0,0,03-03-2020,1,0,0,0
Rajasthan,1,0,0,03-03-2020,1,,,
Delhi,1,0,0,03-03-2020,1,0,0,0
Haryana,2,0,0,04-03-2020,2,,,
Telangana,1,0,0,04-03-2020,1,0,0,0
Rajasthan,15,0,0,04-03-2020,15,14,0,0
Uttar Pradesh,6,0,0,04-03-2020,6,,,
Kerala,3,3,0,04-03-2020,3,0,0,0
Delhi,1,0,0,04-03-2020,1,0,0,0
Telangana,1,0,0,04-03-2020,1,0,0,0
Delhi,2,0,0,05-03-2020,2,1,0,0
Kerala,3,3,0,05-03-2020,3,0,0,0
Telangana,1,0,0,05-03-2020,1,0,0,0
Haryana,2,0,0,05-03-2020,2,0,0,0
Rajasthan,15,0,0,05-03-2020,15,0,0,0
Telangana,1,0,0,05-03-2020,1,0,0,0
Uttar Pradesh,7,0,0,05-03-2020,7,1,0,0
Delhi,3,0,0,06-03-2020,3,1,0,0
Kerala,3,3,0,06-03-2020,3,0,0,0
Telangana,1,0,0,06-03-2020,1,0,0,0
Haryana,2,0,0,06-03-2020,2,0,0,0
Rajasthan,15,0,0,06-03-2020,15,0,0,0
Uttar Pradesh,7,0,0,06-03-2020,7,0,0,0
Telangana,1,0,0,06-03-2020,1,0,0,0
Kerala,3,3,0,07-03-2020,3,0,0,0
Telangana,1,0,0,07-03-2020,1,0,0,0
Delhi,3,0,0,07-03-2020,3,0,0,0
Rajasthan,15,0,0,07-03-2020,15,0,0,0
Uttar Pradesh,7,0,0,07-03-2020,7,0,0,0
Ladakh,2,0,0,07-03-2020,2,,,
Telangana,1,0,0,07-03-2020,1,0,0,0
Tamil Nadu,1,0,0,07-03-2020,1,,,
Haryana,2,0,0,07-03-2020,2,0,0,0
Telangana,1,0,0,08-03-2020,1,0,0,0
Rajasthan,15,0,0,08-03-2020,15,0,0,0
Kerala,8,3,0,08-03-2020,8,5,0,0
Delhi,3,0,0,08-03-2020,3,0,0,0
Ladakh,2,0,0,08-03-2020,2,0,0,0
Telangana,1,0,0,08-03-2020,1,0,0,0
Tamil Nadu,1,0,0,08-03-2020,1,0,0,0
Haryana,2,0,0,08-03-2020,2,0,0,0
Uttar Pradesh,7,0,0,08-03-2020,7,0,0,0
Kerala,9,3,0,09-03-2020,9,1,0,0
Maharashtra,2,0,0,09-03-2020,2,,,
Rajasthan,15,0,0,09-03-2020,15,0,0,0
Telangana,1,0,0,09-03-2020,1,0,0,0
Jammu and Kashmir,1,0,0,09-03-2020,1,,,
Delhi,4,0,0,09-03-2020,4,1,0,0
Ladakh,2,0,0,09-03-2020,2,0,0,0
Karnataka,1,0,0,09-03-2020,1,,,
Punjab,1,0,0,09-03-2020,1,,,
Tamil Nadu,1,0,0,09-03-2020,1,0,0,0
Telangana,1,0,0,09-03-2020,1,0,0,0
Uttar Pradesh,7,0,0,09-03-2020,7,0,0,0
Haryana,2,0,0,09-03-2020,2,0,0,0
Ladakh,2,0,0,10-03-2020,2,0,0,0
Delhi,4,0,0,10-03-2020,4,0,0,0
Kerala,15,3,0,10-03-2020,15,6,0,0
Maharashtra,5,0,0,10-03-2020,5,3,0,0
Rajasthan,15,0,0,10-03-2020,15,0,0,0
Telangana,1,0,0,10-03-2020,1,0,0,0
